Non-Profit,Senior Prospect Research Executive,1,Senior Research Executive,146,Senior Research Executive,146
Non-Profit,Major Donor Prospect Manager,3,Major Donor Manager,136,Manager,278939
Non-Profit,Prospect Research Assistant Director,26,Research Assistant Director,135,Research Assistant Director,135
Non-Profit,Prospect Research Associate Director,12,Research Associate Director,126,Research Associate Director,126
Non-Profit,Prospect Research Interim Director,1,Prospect Research Director,123,Research Director,3453
Non-Profit,Director Prospect Research,3,Prospect Research Director,123,Research Director,3453
Non-Profit,Prospect Records Assistant,1,Records Assistant,123,Assistant,99968
Non-Profit,Prospect Research Director,119,Prospect Research Director,123,Research Director,3453
Non-Profit,Prospect Development Research Analyst,1,Prospect Research Analyst,113,Research Analyst,8584
Non-Profit,Prospect Research Manager,112,Prospect Research Manager,113,Research Manager,3076
Non-Profit,Prospect Research Analyst,112,Prospect Research Analyst,113,Research Analyst,8584
Non-Profit,Manager Prospect Research,1,Prospect Research Manager,113,Research Manager,3076
Non-Profit,Major Gifts Prospect Research Intern,1,Major Gifts Intern,112,Major Gifts Intern,112
Non-Profit,Prospect Research Major Gifts Intern,1,Major Gifts Intern,112,Major Gifts Intern,112
Non-Profit,Prospect Research Coordinator,66,Prospect Research Coordinator,66,Research Coordinator,3062
Non-Profit,Prospect Research Contractor,1,Research Contractor,50,Research Contractor,50
Non-Profit,Prospect Information Management Intern,1,Information Management Intern,50,Information Management Intern,50
Non-Profit,Independent Prospect Research Consultant,1,Independent Research Consultant,48,Independent Research Consultant,48
Non-Profit,Prospect Research Student Assistant,1,Prospect Research Assistant,37,Research Assistant,58676
Non-Profit,Development Prospect Research Assistant,1,Prospect Research Assistant,37,Research Assistant,58676
Non-Profit,Prospect Research Assistant,35,Prospect Research Assistant,37,Research Assistant,58676
Non-Profit,Prospect Manager,31,Prospect Manager,32,Manager,278939
Non-Profit,Prospect Tracking Manager,1,Prospect Manager,32,Manager,278939
Non-Profit,Development Prospect Research Intern,1,Development Research Intern,29,Development Research Intern,29
Non-Profit,Freelance Prospect Research Consultant,1,Freelance Research Consultant,28,Freelance Research Consultant,28
Non-Profit,Prospecting Assistant,19,Prospecting Assistant,19,Assistant,99968
